Vertex,b0:4e:26:ca:3b:33,b0:4e:26:ca:3b:34,b0:4e:26:ca:3c:f5,b0:4e:26:ca:3c:f6,b0:4e:26:ca:42:81,b0:4e:26:ca:42:82
1,-55,-58,-82,-78,-55,-60
1,-64,-67,-85,-73,-53,-56
1,-66,-80,0,-74,-59,-55
1,-66,-81,-82,-73,-57,-60
1,-67,-81,0,-73,-56,-56
2,-85,0,-91,0,-69,0
2,-80,0,0,0,-62,0
2,-79,0,-86,0,-73,0
2,0,0,0,0,-72,0
2,-76,0,-87,0,-70,0
3,-81,0,0,0,-59,-66
3,-80,0,-84,0,-63,0
3,0,0,0,0,-61,-67
3,0,0,0,0,-59,-62
3,0,0,0,0,-62,0
4,0,0,-69,0,-52,0
4,-78,0,-75,-64,-59,-67
4,-80,0,0,0,-59,-64
4,-80,0,-79,-67,-64,-64
4,-76,0,0,-66,-67,-67
5,-71,0,-80,0,-64,-62
5,-72,0,-76,-66,-52,-65
5,-76,0,-82,0,-53,-61
5,-70,0,0,0,-62,-63
5,-72,-68,0,0,-54,-61
6,-68,0,-78,-67,-53,-50
6,-73,0,-71,-63,-48,-47
6,-69,0,-68,-65,-47,-55
6,-70,0,-67,0,-50,-54
6,0,0,-72,-66,-51,-51
7,-75,0,-66,-61,-44,-49
7,-73,0,0,-65,-48,-53
7,-82,0,-76,0,-59,-61
7,-81,0,-81,0,-57,-61
7,-79,0,-74,0,-56,-63
8,-52,-54,-71,0,-59,-66
8,-53,-55,-75,0,-60,-65
8,-53,-63,-73,0,-67,0
8,-51,-59,0,0,-64,-67
8,-51,-58,-72,0,-58,-65
9,-74,0,-91,0,-82,0
9,-78,0,0,0,-73,0
9,-73,0,0,0,-81,0
9,-76,0,0,0,-76,0
9,-76,0,0,0,-80,0
10,-71,0,0,0,0,0
10,-70,0,0,0,-77,0
10,-70,0,0,0,-76,0
10,-71,0,0,0,0,0
10,-73,0,0,0,0,0
11,-56,0,-64,0,-60,0
11,-49,-54,-71,0,-64,0
11,-49,-54,-74,0,-65,0
11,-48,-57,-74,0,-64,0
11,-49,-51,-75,0,-64,0
12,-62,-67,-63,-67,-78,0
12,-62,-64,-67,0,0,0
12,-63,-66,-63,0,-79,0
12,-60,-63,-57,0,0,0
12,-59,-68,-61,0,-74,0
13,-66,0,-55,-58,-72,0
13,-70,0,-57,-61,0,0
13,-63,0,-49,-58,-70,-66
13,-63,0,-50,-59,-73,0
13,-72,-66,-48,-58,-74,-67
14,-82,-83,-58,-55,-62,-66
14,-69,-83,-60,-51,-61,-64
14,-69,0,-55,-52,-57,-60
14,-69,-78,-58,-50,0,-61
14,-69,-80,-58,-62,-64,-63
15,-78,-84,-50,-49,-74,-73
15,-80,0,-51,-45,-73,-79
15,-81,0,-56,-44,-76,-83
15,-81,-85,-58,-48,-75,-73
15,-81,-84,-56,-47,-76,-74
16,-84,-89,-44,-39,-71,-71
16,0,0,-42,-57,-77,-85
16,-83,-85,-53,-48,-75,-78
16,-86,0,-50,-48,-73,-83
16,-85,-90,-48,-46,-73,-82
17,-79,0,-79,0,-55,-51
17,-80,0,-80,0,-51,0
17,-77,0,-81,-75,-53,-49
17,-76,0,-81,-74,-58,-59
17,-80,0,-82,-77,-56,-57
18,-84,0,0,-80,-55,-51
18,-83,0,-82,-81,-61,-64
18,-86,0,-84,0,-62,-67
18,-83,0,-82,-85,-62,-61
