Vertex,a8:f7:d9:59:b7:81,a8:f7:d9:59:b7:a1,a8:f7:d9:59:c6:a1,a8:f7:d9:59:cd:01,a8:f7:d9:5a:25:01,a8:f7:d9:5a:4a:21,a8:f7:d9:5a:4a:41,a8:f7:d9:5a:4a:81,a8:f7:d9:5a:4a:a1,a8:f7:d9:5a:4f:01,a8:f7:d9:5a:4f:21,a8:f7:d9:5a:4f:61,a8:f7:d9:5a:4f:81,a8:f7:d9:5a:50:21,a8:f7:d9:5a:50:41,a8:f7:d9:5a:59:b1,a8:f7:d9:5a:59:d1,a8:f7:d9:5a:5b:91,a8:f7:d9:5a:5b:b1,a8:f7:d9:5a:5b:f2,a8:f7:d9:5a:5c:12,a8:f7:d9:5a:5e:c1,a8:f7:d9:5a:5e:f1,a8:f7:d9:5a:5f:11,a8:f7:d9:5a:69:11,a8:f7:d9:5a:69:31,a8:f7:d9:5a:6a:c1,a8:f7:d9:5a:6a:e1,a8:f7:d9:5a:6b:81,a8:f7:d9:5a:6b:a1,a8:f7:d9:5a:70:31,a8:f7:d9:5a:70:51,a8:f7:d9:c4:3d:b1,a8:f7:d9:c4:3d:d1,a8:f7:d9:c4:50:a1,a8:f7:d9:c4:50:c1,a8:f7:d9:e6:cd:91,a8:f7:d9:e6:cd:b1,a8:f7:d9:e6:d0:f1,a8:f7:d9:e6:d1:11
man,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-86,-100,-100,-100,-100,-87,-100,-85,-100,-86,-100,-71,-59,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-86,-100,-100,-100,-100,-82,-77,-76,-100,-86,-100,-70,-58,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100
4,-100,-100,-100,-100,-100,-100,-80,-100,-100,-87,-100,-100,-100,-76,-100,-100,-100,-74,-76,-100,-100,-100,-80,-71,-73,-100,-82,-100,-63,-49,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100
5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-80,-67,-87,-100,-100,-73,-100,-72,-80,-75,-100,-57,-50,-100,-100,-100,-100,-100,-100,-85,-82,-89,-100
6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-81,-70,-100,-100,-100,-75,-75,-73,-78,-90,-100,-66,-57,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100
127,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-71,-100,-100,-100,-85,-100,-100,-100,-100,-76,-78,-82,-78,-82,-100,-62,-50,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100
126,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-80,-76,-88,-100,-100,-68,-100,-77,-100,-73,-100,-54,-48,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100
7,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-73,-100,-100,-100,-100,-73,-70,-81,-100,-76,-100,-72,-60,-100,-100,-100,-100,-100,-100,-86,-77,-85,-100
elevator,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-76,-100,-100,-100,-75,-100,-89,-100,-100,-77,-69,-77,-100,-83,-100,-68,-53,-100,-100,-100,-100,-100,-100,-84,-80,-100,-100
8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-79,-100,-100,-100,-75,-74,-82,-100,-100,-79,-68,-63,-75,-74,-70,-73,-57,-87,-100,-100,-100,-100,-100,-77,-71,-100,-100
9,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-80,-76,-100,-100,-77,-100,-82,-100,-100,-74,-100,-68,-71,-72,-100,-74,-58,-86,-100,-84,-100,-91,-100,-71,-69,-81,-100
up,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-75,-100,-86,-100,-100,-73,-71,-70,-74,-73,-100,-75,-62,-85,-100,-100,-100,-100,-100,-75,-100,-85,-100
10,-100,-100,-100,-100,-100,-78,-70,-100,-100,-100,-100,-100,-100,-76,-71,-84,-100,-76,-100,-83,-100,-100,-74,-100,-62,-68,-76,-100,-76,-60,-87,-100,-83,-100,-81,-100,-67,-65,-80,-78
11,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-80,-71,-100,-100,-78,-77,-86,-100,-100,-78,-100,-67,-76,-84,-100,-75,-68,-100,-100,-83,-81,-85,-100,-70,-62,-82,-76
115,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-85,-76,-100,-100,-78,-100,-100,-100,-100,-81,-100,-72,-100,-100,-100,-75,-64,-100,-100,-80,-100,-88,-100,-60,-61,-85,-75
128,-100,-100,-100,-100,-100,-81,-72,-100,-100,-100,-81,-100,-100,-76,-100,-83,-100,-76,-100,-81,-100,-100,-75,-70,-67,-67,-69,-100,-84,-72,-100,-100,-84,-100,-82,-100,-70,-63,-78,-73
down,-100,-76,-100,-100,-100,-74,-63,-87,-100,-100,-100,-100,-100,-64,-66,-79,-73,-80,-79,-78,-78,-86,-74,-70,-62,-61,-67,-100,-81,-100,-83,-100,-81,-73,-76,-100,-63,-100,-79,-100
12,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-80,-73,-88,-100,-72,-100,-83,-100,-88,-73,-69,-65,-70,-75,-100,-72,-100,-100,-100,-84,-79,-87,-100,-62,-61,-82,-100
13,-100,-100,-100,-100,-100,-69,-60,-100,-100,-100,-100,-100,-100,-69,-78,-80,-72,-100,-100,-80,-100,-85,-71,-64,-56,-62,-67,-66,-81,-100,-100,-100,-76,-74,-78,-100,-65,-56,-76,-67
14,-100,-100,-100,-100,-100,-72,-62,-100,-100,-100,-100,-100,-100,-65,-71,-81,-100,-84,-100,-72,-78,-82,-68,-68,-56,-59,-64,-61,-82,-100,-100,-100,-85,-100,-81,-100,-67,-65,-75,-66
15,-100,-100,-100,-100,-100,-77,-67,-84,-100,-100,-100,-100,-100,-75,-77,-68,-70,-85,-100,-72,-100,-87,-72,-100,-51,-44,-63,-63,-74,-68,-100,-100,-100,-82,-87,-100,-75,-71,-66,-61
16,-100,-100,-100,-100,-100,-86,-73,-85,-76,-100,-100,-100,-100,-87,-100,-79,-81,-100,-100,-79,-100,-84,-81,-74,-57,-49,-81,-72,-100,-100,-100,-100,-86,-100,-100,-86,-74,-72,-71,-65
114,-100,-100,-100,-100,-100,-100,-76,-86,-100,-100,-100,-100,-100,-81,-100,-81,-100,-100,-100,-76,-72,-100,-83,-100,-50,-43,-71,-66,-87,-100,-84,-100,-83,-100,-85,-100,-69,-68,-81,-73
17,-100,-100,-100,-100,-100,-88,-100,-82,-100,-100,-100,-100,-100,-82,-100,-67,-100,-100,-100,-76,-73,-88,-75,-100,-52,-51,-70,-67,-100,-100,-100,-100,-100,-100,-100,-100,-81,-78,-75,-71
112,-100,-100,-100,-100,-100,-84,-100,-87,-100,-100,-100,-100,-100,-85,-100,-79,-100,-90,-100,-82,-100,-89,-78,-69,-50,-44,-73,-70,-83,-100,-100,-100,-100,-100,-100,-83,-79,-74,-75,-69
18,-100,-100,-100,-100,-100,-76,-68,-81,-74,-100,-100,-100,-100,-74,-100,-71,-67,-81,-100,-72,-70,-87,-70,-74,-46,-49,-66,-100,-78,-100,-100,-100,-100,-100,-100,-100,-80,-72,-70,-61
130,-100,-78,-100,-100,-100,-87,-75,-79,-76,-100,-100,-100,-100,-82,-100,-72,-70,-100,-100,-66,-100,-100,-68,-68,-49,-56,-81,-69,-100,-100,-100,-100,-100,-100,-100,-100,-78,-77,-70,-65
129,-100,-79,-100,-100,-100,-100,-77,-87,-100,-100,-100,-100,-100,-81,-100,-75,-100,-100,-100,-73,-74,-100,-73,-76,-57,-55,-74,-100,-100,-81,-100,-100,-100,-100,-100,-100,-73,-100,-57,-52
19,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-87,-100,-100,-60,-68,-100,-100,-64,-64,-100,-77,-100,-56,-58,-58,-56,-85,-100,-84,-100,-100,-100,-100,-100,-84,-100,-81,-73
