Vertex,a8:f7:d9:59:b7:81,a8:f7:d9:59:b7:a1,a8:f7:d9:59:cc:e1,a8:f7:d9:5a:4a:21,a8:f7:d9:5a:4a:41,a8:f7:d9:5a:4a:81,a8:f7:d9:5a:4a:a1,a8:f7:d9:5a:4f:01,a8:f7:d9:5a:4f:21,a8:f7:d9:5a:4f:61,a8:f7:d9:5a:4f:81,a8:f7:d9:5a:50:21,a8:f7:d9:5a:50:41,a8:f7:d9:5a:59:71,a8:f7:d9:5a:59:b1,a8:f7:d9:5a:59:d1,a8:f7:d9:5a:5b:91,a8:f7:d9:5a:5b:b1,a8:f7:d9:5a:5b:f2,a8:f7:d9:5a:5c:12,a8:f7:d9:5a:5e:f1,a8:f7:d9:5a:5f:11,a8:f7:d9:5a:61:31,a8:f7:d9:5a:69:11,a8:f7:d9:5a:69:31,a8:f7:d9:5a:6a:c1,a8:f7:d9:5a:6a:e1,a8:f7:d9:5a:6b:81,a8:f7:d9:5a:6b:a1,a8:f7:d9:5a:70:31,a8:f7:d9:5a:70:51,a8:f7:d9:c4:3d:b1,a8:f7:d9:c4:3d:d1,a8:f7:d9:c4:50:a1,a8:f7:d9:c4:50:c1,a8:f7:d9:e6:c5:21,a8:f7:d9:e6:c5:41,a8:f7:d9:e6:c9:31,a8:f7:d9:e6:cd:91,a8:f7:d9:e6:cd:b1,a8:f7:d9:e6:d0:f1,a8:f7:d9:e6:d1:11
2,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-84,-100,-100,-57,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100
3,-100,-100,-100,-100,-100,-100,-100,-78,-77,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-85,-100,-100,-82,-100,-100,-54,-57,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100
128,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-80,-89,-100,-100,-100,-100,-84,-100,-100,-100,-78,-100,-100,-72,-100,-78,-44,-45,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100
127,-100,-100,-100,-100,-100,-100,-100,-77,-85,-100,-100,-77,-85,-100,-100,-100,-100,-87,-100,-100,-79,-77,-100,-78,-72,-100,-100,-54,-57,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100
6,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-75,-88,-100,-100,-100,-69,-67,-100,-100,-100,-75,-100,-100,-67,-100,-83,-100,-59,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100
elevator,-100,-100,-100,-100,-86,-100,-100,-81,-87,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-71,-79,-100,-77,-64,-78,-74,-100,-59,-100,-85,-100,-100,-100,-100,-100,-100,-100,-78,-75,-100,-84
stairs down 1,-100,-100,-100,-79,-86,-100,-100,-100,-84,-100,-100,-75,-86,-87,-100,-100,-76,-100,-100,-100,-100,-72,-100,-74,-65,-100,-79,-66,-71,-100,-79,-100,-100,-100,-100,-100,-85,-100,-73,-68,-82,-83
115,-100,-100,-100,-72,-80,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-72,-77,-100,-65,-57,-77,-77,-64,-67,-100,-86,-100,-83,-100,-83,-100,-100,-100,-64,-60,-82,-100
128,-100,-100,-100,-78,-81,-100,-100,-77,-86,-100,-100,-75,-100,-100,-100,-100,-100,-85,-100,-100,-73,-77,-100,-73,-60,-81,-79,-71,-77,-100,-88,-100,-100,-100,-86,-100,-90,-100,-69,-66,-76,-75
12,-100,-100,-100,-70,-73,-100,-100,-100,-100,-100,-100,-78,-100,-100,-82,-86,-100,-100,-80,-87,-100,-66,-100,-64,-54,-69,-76,-73,-76,-100,-79,-71,-77,-100,-77,-100,-100,-100,-100,-53,-78,-77
14,-81,-100,-100,-70,-70,-100,-100,-100,-100,-100,-100,-79,-84,-100,-100,-86,-100,-100,-79,-78,-73,-75,-100,-58,-48,-68,-69,-100,-100,-100,-79,-100,-79,-100,-90,-81,-80,-100,-75,-65,-71,-70
114,-100,-100,-100,-72,-75,-100,-83,-100,-100,-100,-100,-100,-100,-100,-72,-82,-100,-100,-74,-79,-69,-73,-100,-100,-37,-64,-65,-72,-75,-79,-78,-81,-87,-82,-100,-100,-81,-100,-75,-71,-72,-80
112,-100,-100,-100,-79,-87,-100,-87,-100,-100,-100,-100,-100,-100,-100,-79,-83,-100,-100,-74,-83,-78,-83,-100,-100,-51,-75,-83,-81,-81,-100,-100,-100,-100,-83,-100,-100,-79,-100,-80,-81,-77,-75
129,-100,-100,-100,-80,-82,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-79,-100,-78,-100,-57,-56,-100,-83,-80,-85,-100,-87,-100,-100,-100,-100,-100,-88,-100,-100,-78,-54,-50
128,-100,-100,-100,-82,-100,-100,-85,-100,-100,-100,-100,-86,-100,-100,-100,-80,-100,-100,-77,-76,-74,-78,-100,-100,-51,-78,-80,-82,-84,-81,-82,-100,-100,-100,-100,-100,-85,-100,-80,-77,-75,-65
19,-82,-87,-100,-84,-86,-79,-83,-100,-100,-100,-100,-100,-100,-100,-71,-75,-100,-100,-64,-70,-100,-84,-80,-57,-59,-100,-64,-77,-73,-80,-76,-100,-100,-100,-100,-74,-73,-100,-79,-79,-75,-77
23,-100,-78,-100,-100,-100,-100,-85,-100,-100,-100,-87,-100,-100,-100,-100,-86,-100,-100,-100,-76,-100,-86,-100,-100,-68,-100,-49,-76,-78,-74,-73,-100,-100,-100,-100,-73,-72,-100,-100,-84,-100,-100
111,-100,-85,-100,-100,-100,-83,-90,-100,-100,-78,-86,-100,-100,-100,-100,-100,-100,-100,-73,-84,-100,-100,-100,-77,-75,-49,-61,-100,-100,-86,-82,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100
131,-100,-81,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-79,-87,-100,-100,-74,-80,-100,-100,-100,-79,-77,-100,-57,-100,-87,-78,-74,-100,-100,-100,-100,-74,-75,-100,-100,-89,-78,-83
132,-72,-82,-100,-100,-100,-100,-100,-100,-100,-79,-86,-100,-100,-100,-100,-100,-100,-100,-75,-81,-100,-100,-100,-78,-72,-52,-57,-100,-87,-100,-76,-100,-100,-100,-100,-71,-70,-90,-100,-100,-100,-86
stairs up2,-71,-67,-90,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-67,-77,-100,-100,-100,-78,-72,-48,-55,-100,-87,-100,-61,-100,-100,-100,-100,-69,-100,-100,-87,-100,-90,-100
34,-73,-79,-78,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-66,-75,-100,-100,-100,-79,-74,-67,-69,-83,-76,-65,-70,-100,-100,-100,-100,-70,-77,-100,-100,-100,-100,-100
lib,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-79,-78,-79,-86,-100,-61,-55,-100,-100,-100,-100,-83,-83,-88,-100,-100,-100,-100
