vertex,A8:F7:D9:59:B7:81,A8:F7:D9:59:B7:A1,A8:F7:D9:5A:4A:21,A8:F7:D9:5A:4A:41,A8:F7:D9:5A:4A:A1,A8:F7:D9:5A:4F:01,A8:F7:D9:5A:4F:21,A8:F7:D9:5A:4F:61,A8:F7:D9:5A:4F:81,A8:F7:D9:5A:50:21,A8:F7:D9:5A:50:41,A8:F7:D9:5A:59:B1,A8:F7:D9:5A:59:D1,A8:F7:D9:5A:5B:91,A8:F7:D9:5A:5B:B1,A8:F7:D9:5A:5B:F2,A8:F7:D9:5A:5C:12,A8:F7:D9:5A:5E:C1,A8:F7:D9:5A:5E:E1,A8:F7:D9:5A:5E:F1,A8:F7:D9:5A:5F:11,A8:F7:D9:5A:61:51,A8:F7:D9:5A:69:11,A8:F7:D9:5A:69:31,A8:F7:D9:5A:6A:C1,A8:F7:D9:5A:6A:E1,A8:F7:D9:5A:6B:81,A8:F7:D9:5A:6B:A1,A8:F7:D9:5A:70:31,A8:F7:D9:5A:70:51,A8:F7:D9:C4:3D:B1,A8:F7:D9:C4:3D:D1,A8:F7:D9:C4:50:A1,A8:F7:D9:E6:C5:21,A8:F7:D9:E6:C5:41,A8:F7:D9:E6:CD:91,A8:F7:D9:E6:CD:B1,A8:F7:D9:E6:D0:F1,A8:F7:D9:E6:D1:11
lib,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-71,-100,-100,-100,-100,-100,-100,-100,-74,-69,-100,-100,-71,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100
lib,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-74,-100,-100,-100,-100,-100,-100,-100,-76,-69,-100,-100,-66,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100
lib,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-69,-100,-100,-100,-100,-100,-78,-100,-73,-69,-100,-100,-70,-65,-100,-100,-100,-82,-100,-100,-100,-100,-100
lib,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-69,-100,-100,-100,-100,-100,-78,-100,-73,-100,-100,-100,-67,-65,-100,-100,-100,-83,-100,-100,-100,-100,-100
lib,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-69,-100,-100,-100,-100,-100,-79,-100,-77,-100,-100,-100,-74,-69,-100,-100,-100,-82,-100,-100,-100,-100,-100
37,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-75,-63,-100,-100,-100,-100,-100,-79,-100,-69,-100,-100,-100,-63,-69,-100,-100,-100,-82,-100,-100,-100,-100,-100
37,-100,-72,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-70,-69,-100,-100,-100,-100,-100,-82,-100,-67,-71,-100,-100,-62,-72,-100,-100,-100,-81,-100,-100,-100,-100,-100
37,-100,-72,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-71,-69,-100,-100,-100,-100,-100,-79,-100,-69,-71,-100,-100,-64,-72,-100,-100,-100,-85,-100,-100,-100,-100,-100
37,-100,-72,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-68,-68,-100,-100,-100,-100,-100,-80,-100,-71,-71,-100,-100,-65,-72,-100,-100,-100,-85,-100,-100,-100,-100,-100
37,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-71,-71,-100,-100,-100,-100,-100,-80,-100,-66,-70,-100,-100,-62,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100
35,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-82,-71,-100,-100,-100,-100,-100,-83,-68,-72,-68,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
35,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-82,-68,-74,-71,-100,-100,-77,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100
36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-82,-68,-71,-71,-100,-100,-73,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100
36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-74,-74,-65,-71,-81,-100,-75,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100
36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-83,-74,-72,-100,-81,-100,-79,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100
35,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-68,-100,-100,-100,-100,-100,-83,-74,-78,-74,-81,-100,-80,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100
36,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-68,-100,-100,-100,-100,-100,-83,-74,-78,-74,-81,-100,-80,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100
36,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-67,-100,-100,-100,-100,-100,-83,-100,-79,-74,-100,-100,-80,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100
36,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-67,-100,-100,-100,-100,-100,-100,-100,-75,-74,-100,-100,-80,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100
108,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-67,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-82,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100
108,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-80,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100
108,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-78,-100,-100,-100,-100,-100,-100,-100,-84,-76,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
108,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-78,-100,-100,-100,-100,-100,-100,-100,-82,-76,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
34,-77,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-76,-70,-100,-100,-100,-100,-100,-72,-62,-71,-58,-84,-100,-79,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100
34\,-75,-75,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-73,-65,-100,-100,-100,-100,-100,-75,-62,-69,-64,-83,-100,-83,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100
